
17:35:44 CI  11: df 14 19 0a c4 15 23 a7 82 cf cd
17:35:44 CI  11: df 14 19 0a c4 15 23 a7 82 cf ce
17:35:45 CI  11: df 14 19 0a c4 15 23 a8 82 cf cf
17:35:45 CI  11: df 14 19 0a c4 15 23 a8 82 cf d0
17:35:46 CI  11: df 14 19 0a c4 15 23 a8 82 cf d1
17:35:46 CI  11: df 14 19 0a c4 15 23 a9 82 cf d2
17:35:47 CI  11: df 14 19 0a c4 15 23 a9 82 cf d3
17:35:47 CI  11: df 14 19 0a c4 15 23 aa 82 cf d4
17:35:48 CI  11: df 14 19 0a c4 15 23 aa 82 cf d5
17:35:48 CI  11: df 14 19 0a c4 15 23 ab 82 cf d6
17:35:48 CI  11: df 14 19 0a c4 15 23 ab 82 cf d7
17:35:49 CI  11: df 14 19 0a c4 15 23 ac 82 cf d8
17:35:49 CI  11: df 14 19 0a c4 15 23 ac 82 cf d9
17:35:50 CI  11: df 14 19 0a c4 15 23 ac 82 cf da
17:35:50 CI  11: df 14 19 0a c4 15 23 ad 82 cf db
17:35:51 CI  11: df 14 19 0a c4 15 23 ad 82 cf dc
17:35:51 CI  11: df 14 19 0a c4 15 23 ae 82 cf dd
17:35:51 CI  11: df 14 19 0a c4 15 23 ae 82 cf de
17:35:52 CI  11: df 14 19 0a c4 15 23 af 82 cf df
17:35:52 CI  11: df 14 19 0a c4 15 23 af 82 cf e0
17:35:53 CI  11: df 14 19 0a c4 15 23 af 82 cf e1
17:35:53 CI  11: df 14 19 0a c4 15 23 b0 82 cf e2
17:35:54 CI  11: df 14 19 0a c4 15 23 b0 82 cf e3
17:35:54 CI  11: df 14 19 0a c4 15 23 b1 82 cf e4
17:35:54 CI  11: df 14 19 0a c4 15 23 b1 82 cf e5
17:35:55 CI  11: df 14 19 0a c4 15 23 b2 82 cf e6
17:35:55 CI  11: df 14 19 0a c4 15 23 b2 82 cf e7
17:35:56 CI  11: df 14 19 0a c4 15 23 b2 82 cf e8
17:35:56 CI  11: df 14 19 0a c4 15 23 b3 82 cf e9
17:35:57 CI  11: df 14 19 0a c4 15 23 b3 82 cf ea
17:35:57 CI  11: df 14 19 0a c4 15 23 b4 82 cf eb
17:35:57 CI  11: df 14 19 0a c4 15 23 b4 82 cf ec
17:35:58 CI  11: df 14 19 0a c4 15 23 b5 82 cf ed
17:35:58 CI  11: df 14 19 0a c4 15 23 b5 82 cf ee
17:35:59 CI  11: df 14 19 0a c4 15 23 b5 82 cf ef
17:35:59 CI  11: df 14 19 0a c4 15 23 b6 82 cf f0
17:36:00 CI  11: df 14 19 0a c4 15 23 b6 82 cf f1
17:36:00 CI  11: df 14 19 0a c4 15 23 b7 82 cf f2
17:36:00 CI  11: df 14 19 0a c4 15 23 b7 82 cf f3
17:36:01 CI  11: df 14 19 0a c4 15 23 b8 82 cf f4
17:36:01 CI  11: df 14 19 0a c4 15 23 b8 82 cf f5
17:36:02 CI  11: df 14 19 0a c4 15 23 b8 82 cf f6
17:36:02 CI  11: df 14 19 0a c4 15 23 b9 82 cf f7
17:36:03 CI  11: df 14 19 0a c4 15 23 b9 82 cf f8
